Agents,Rounds,Rating,Kpr,Deaths,Dpr,HsPerc,Tier
omen,66,1.14,0.79,44,0.67,58.73,A
sova,40,1.52,0.98,26,0.65,44.65,S
tejo,26,0.73,0.38,16,0.62,37.32,S
yoru,66,0.91,0.71,51,0.77,38.08,B
cypher,19,0.89,0.53,11,0.58,39.22,S
viper,47,1.05,0.6,26,0.55,52.58,B
deadlock,19,0.74,0.63,16,0.84,21.89,C
vyse,47,1.08,0.7,29,0.62,54.31,A
fade,47,1.09,0.72,31,0.66,30.53,B
sova,19,1.01,0.74,16,0.84,38.55,S
neon,21,1.32,1.05,15,0.71,41.39,C
raze,26,1.19,1.0,18,0.69,49.19,A
yoru,19,0.45,0.47,16,0.84,25.2,B
omen,66,0.99,0.62,39,0.59,45.18,A
cypher,36,0.88,0.53,19,0.53,57.25,S
vyse,22,0.84,0.5,13,0.59,29.37,A
fade,22,1.03,0.68,13,0.59,43.6,B
omen,36,1.29,0.78,20,0.56,38.02,A
iso,22,1.66,1.0,11,0.5,49.41,B
omen,22,1.09,0.59,14,0.64,40.93,A
yoru,14,2.32,1.57,6,0.43,47.13,B
jett,14,1.08,0.57,8,0.57,45.04,S
neon,22,0.45,0.32,15,0.68,52.19,C
yoru,22,1.12,0.73,13,0.59,41.05,B
sova,36,1.15,0.81,22,0.61,48.98,S
viper,22,0.9,0.59,13,0.59,30.83,B
breach,17,1.35,0.71,9,0.53,35.21,B
killjoy,13,1.6,1.31,8,0.62,51.92,B
cypher,17,1.06,0.59,7,0.41,54.49,S
sage,13,1.24,0.69,5,0.38,46.7,A
fade,17,1.53,1.0,10,0.59,42.78,B
sova,13,1.76,1.15,4,0.31,49.01,S
jett,13,0.79,0.85,9,0.69,32.98,S
neon,17,1.76,1.41,12,0.71,53.26,C
omen,17,1.14,0.76,11,0.65,49.46,A
viper,13,1.37,0.85,6,0.46,41.2,B
breach,17,0.71,0.41,13,0.76,34.26,B
vyse,22,1.33,0.86,11,0.5,46.73,A
cypher,17,1.0,0.71,10,0.59,38.89,S
viper,22,0.65,0.45,17,0.77,37.81,B
fade,22,0.58,0.36,15,0.68,54.96,B
sova,17,0.44,0.35,14,0.82,34.96,S
neon,39,0.78,0.64,33,0.85,36.73,C
omen,39,0.57,0.46,34,0.87,32.46,A
breach,23,0.67,0.43,17,0.74,44.33,B
fade,20,0.69,0.45,18,0.9,35.85,B
clove,20,0.76,0.8,18,0.9,35.61,S
jett,23,1.15,0.78,15,0.65,53.17,S
cypher,23,0.89,0.52,16,0.7,50.96,S
raze,20,0.73,0.65,17,0.85,34.9,A
omen,23,0.87,0.65,17,0.74,25.65,A
viper,20,0.7,0.6,18,0.9,46.86,B
sova,23,1.36,0.83,15,0.65,37.62,S
tejo,20,0.83,0.5,15,0.75,45.33,S
brimstone,18,1.19,0.5,7,0.39,26.12,B
fade,17,1.4,0.82,6,0.35,52.54,B
chamber,17,1.46,0.88,5,0.29,36.79,C
yoru,18,0.81,0.61,11,0.61,47.07,B
fade,18,1.03,0.5,8,0.44,41.59,B
sova,17,1.47,1.06,9,0.53,38.73,S
omen,17,1.02,0.53,10,0.59,37.32,A
viper,18,1.54,1.06,9,0.5,52.09,B
raze,18,1.64,1.06,8,0.44,47.93,A
yoru,17,1.25,0.88,11,0.65,48.28,B
brimstone,18,0.95,0.61,14,0.78,55.67,B
fade,17,0.52,0.24,13,0.76,23.81,B
neon,17,0.84,0.65,15,0.88,52.4,C
raze,18,0.82,0.56,14,0.78,40.19,A
omen,17,0.79,0.59,14,0.82,32.15,A
skye,18,0.72,0.39,12,0.67,27.9,C
viper,35,0.5,0.37,29,0.83,35.55,B
vyse,35,0.78,0.51,27,0.77,46.31,A
chamber,21,0.92,0.71,14,0.67,40.72,C
vyse,18,0.8,0.44,9,0.5,52.49,A
fade,18,1.4,1.06,10,0.56,34.51,B
sova,21,1.2,0.86,12,0.57,43.94,S
omen,39,1.37,0.87,20,0.51,34.6,A
viper,18,1.76,1.06,8,0.44,49.99,B
vyse,21,1.17,0.9,14,0.67,50.74,A
yoru,39,1.09,0.77,25,0.64,39.21,B
cypher,16,0.56,0.63,16,1.0,17.47,S
vyse,21,0.86,0.67,15,0.71,42.61,A
fade,21,0.64,0.43,16,0.76,41.71,B
sova,16,0.35,0.31,14,0.88,39.29,S
omen,37,0.75,0.54,28,0.76,49.21,A
raze,37,0.59,0.51,29,0.78,30.29,A
yoru,37,1.07,0.84,27,0.73,48.0,B
cypher,39,0.49,0.41,34,0.87,46.68,S
iso,18,0.82,0.67,16,0.89,25.35,B
jett,21,1.01,0.86,15,0.71,45.48,S
yoru,18,0.75,0.72,16,0.89,36.05,B
omen,39,0.68,0.46,32,0.82,37.39,A
sova,39,0.99,0.62,30,0.77,42.82,S
fade,20,1.39,0.8,12,0.6,39.3,B
skye,23,1.13,0.65,13,0.57,36.53,C
jett,23,0.9,0.74,14,0.61,42.79,S
neon,20,1.4,1.1,15,0.75,36.3,C
killjoy,23,0.74,0.57,17,0.74,31.09,B
vyse,20,1.22,0.75,12,0.6,48.13,A
omen,43,1.22,0.84,26,0.6,34.41,A
viper,43,1.14,0.74,25,0.58,48.09,B
fade,21,1.03,0.38,9,0.43,44.06,B
sova,16,1.33,0.75,7,0.44,30.17,S
omen,21,0.96,0.67,12,0.57,36.72,A
killjoy,21,0.69,0.62,16,0.76,49.67,B
vyse,16,1.26,0.88,11,0.69,35.43,A
neon,16,1.17,1.0,11,0.69,40.76,C
raze,21,1.15,0.76,16,0.76,45.22,A
omen,16,1.77,1.19,6,0.38,55.13,A
viper,21,1.92,1.19,10,0.48,46.05,B
omen,17,1.04,0.59,10,0.59,36.4,A
killjoy,17,1.1,0.53,8,0.47,52.92,B
viper,22,1.26,0.82,10,0.45,58.51,B
neon,17,1.41,0.94,8,0.47,53.47,C
omen,22,1.36,0.82,12,0.55,44.48,A
viper,17,1.26,0.76,10,0.59,36.41,B
sova,39,1.41,1.03,22,0.56,39.18,S
killjoy,13,0.14,0.23,13,1.0,38.48,B
sage,17,0.44,0.29,14,0.82,39.69,A
neon,17,0.52,0.65,18,1.06,49.23,C
omen,30,0.4,0.43,29,0.97,41.74,A
sova,30,0.91,0.7,27,0.9,27.78,S
viper,30,0.81,0.63,26,0.87,47.76,B
breach,16,1.48,1.06,8,0.5,38.62,B
killjoy,15,2.08,1.4,8,0.53,46.69,B
viper,26,0.79,0.58,17,0.65,42.6,B
cypher,16,1.83,1.19,5,0.31,65.39,S
jett,15,0.63,0.53,11,0.73,64.34,S
vyse,26,1.61,1.0,13,0.5,50.85,A
fade,26,1.13,0.77,21,0.81,39.75,B
sova,31,1.4,0.9,16,0.52,49.12,S
neon,42,0.96,0.86,36,0.86,48.82,C
omen,57,0.7,0.51,40,0.7,36.93,A
breach,17,1.37,1.06,15,0.88,57.92,B
sova,24,1.15,0.75,15,0.62,44.38,S
chamber,24,1.37,1.21,18,0.75,50.08,C
jett,34,0.66,0.65,30,0.88,44.79,S
cypher,34,0.49,0.29,29,0.85,39.47,S
neon,24,0.49,0.33,18,0.75,44.01,C
omen,24,1.17,0.88,17,0.71,38.18,A
sova,34,0.91,0.56,28,0.82,34.57,S
omen,34,0.52,0.41,28,0.82,28.74,A
viper,24,0.58,0.38,17,0.71,41.64,B
breach,20,0.78,0.7,19,0.95,45.63,B
gekko,22,1.15,0.77,15,0.68,45.92,A
brimstone,22,1.27,0.82,15,0.68,56.16,B
omen,37,0.52,0.27,28,0.76,36.58,A
cypher,37,0.84,0.68,28,0.76,46.07,S
viper,22,1.06,0.77,15,0.68,33.53,B
jett,17,0.92,0.53,9,0.53,37.96,S
neon,20,0.89,0.75,18,0.9,45.86,C
raze,22,1.26,0.91,14,0.64,50.77,A
skye,22,1.07,0.77,15,0.68,39.91,C
sova,37,0.86,0.57,28,0.76,39.05,S
breach,16,0.61,0.5,15,0.94,25.34,B
deadlock,15,1.09,0.87,12,0.8,39.44,C
sage,26,0.92,0.54,18,0.69,47.0,A
cypher,31,0.85,0.65,28,0.9,43.9,S
viper,26,1.08,0.69,17,0.65,45.71,B
fade,26,1.17,0.81,21,0.81,42.02,B
sova,31,0.71,0.61,29,0.94,38.64,S
neon,42,0.71,0.71,38,0.9,34.62,C
yoru,15,0.9,0.73,13,0.87,45.93,B
omen,57,0.86,0.54,41,0.72,43.01,A
brimstone,26,0.96,0.65,16,0.62,45.48,B
viper,23,0.72,0.48,16,0.7,34.99,B
harbor,23,0.81,0.7,17,0.74,23.85,C
yoru,26,0.3,0.35,23,0.88,45.24,B
jett,23,1.57,1.04,11,0.48,42.73,S
raze,26,0.96,0.73,20,0.77,34.24,A
killjoy,23,1.35,0.96,15,0.65,49.95,B
viper,26,1.53,1.08,14,0.54,43.34,B
skye,26,0.96,0.58,19,0.73,48.44,C
sova,23,0.95,0.52,14,0.61,45.26,S
brimstone,26,0.62,0.46,21,0.81,43.59,B
killjoy,23,0.74,0.52,16,0.7,28.67,B
fade,26,0.94,0.65,15,0.58,51.56,B
sova,23,0.92,0.61,17,0.74,42.27,S
jett,23,1.22,0.87,15,0.65,40.55,S
yoru,26,1.22,1.04,17,0.65,46.35,B
omen,23,0.8,0.61,17,0.74,25.97,A
raze,26,1.18,0.85,19,0.73,45.93,A
viper,49,0.73,0.55,36,0.73,31.43,B
brimstone,22,0.43,0.45,20,0.91,26.4,B
omen,37,1.12,0.62,17,0.46,30.34,A
cypher,37,1.04,0.62,19,0.51,51.02,S
viper,22,1.3,0.91,15,0.68,38.63,B
fade,22,0.87,0.68,16,0.73,53.23,B
sova,37,1.13,0.78,25,0.68,38.07,S
iso,20,0.98,0.75,14,0.7,28.24,B
raze,22,0.63,0.5,19,0.86,29.19,A
yoru,17,1.66,1.0,7,0.41,56.61,B
jett,17,1.34,0.82,8,0.47,43.19,S
yoru,42,1.28,1.0,34,0.81,39.13,B
chamber,41,0.9,0.63,26,0.63,42.54,C
vyse,17,0.75,0.53,13,0.76,43.23,A
fade,41,1.39,0.78,19,0.46,53.06,B
sova,17,1.18,0.76,10,0.59,54.47,S
neon,24,0.69,0.54,20,0.83,35.88,C
yoru,34,1.0,0.71,20,0.59,31.77,B
omen,58,1.37,0.93,37,0.64,40.87,A
viper,41,1.49,1.05,25,0.61,47.7,B
vyse,17,1.14,0.88,11,0.65,35.89,A
cypher,26,0.79,0.46,15,0.58,32.3,S
killjoy,44,0.82,0.66,33,0.75,43.35,B
fade,20,0.9,0.5,12,0.6,39.81,B
sova,50,0.91,0.4,30,0.6,39.46,S
jett,24,1.3,1.04,16,0.67,38.97,S
raze,20,0.76,0.7,17,0.85,38.36,A
yoru,26,1.65,1.35,18,0.69,40.59,B
neon,26,0.74,0.58,20,0.77,46.76,C
omen,20,0.81,0.65,17,0.85,47.98,A
sage,24,0.95,0.54,15,0.62,25.67,A
omen,26,1.02,0.62,19,0.73,32.92,A
